link_id,link_name,category
63074,Father Capodanno Blvd @ Seaview Ave to Hyland Blvd @ Midland Ave via Midland Ave,Father Capodanno Blvd
63064,Father Capodanno Blvd @ Seaview Ave to Lily Pond Ave Verrazano-Narrows Br Entrance - NB,Father Capodanno Blvd
4616329,FDR N 25th - 63rd St,FDR Dr
4616328,FDR N Catherine Slip - 25th St,FDR Dr
4456450,FDR N - TBB E 116TH STREET - MANHATTAN TRUSS,FDR Dr
4616333,FDR S 25th St - Catherine Slip,FDR Dr
4616332,FDR S 63rd - 25th St,FDR Dr
4616341,FDR S Catherine Slip - BKN Bridge Manhattan Side,FDR Dr
4616334,FDR S Catherine Slip - Whitehall St,FDR Dr
4456495,FDR S Whitehall St - BBT Manhattan Portal outbound,FDR Dr
71070,Flatbush Ave - Northbound - Atlantic Ave to Willoughvy St,Flatbush Ave
122134,Flatbush Ave - Northbound - Avenue U to Fillmore Ave,Flatbush Ave
120135,Flatbush Ave - Northbound - Aviators Sports Complex to Golf Course,Flatbush Ave
134133,Flatbush Ave - Northbound - Fillmore Ave to Kings Hwy,Flatbush Ave
135122,Flatbush Ave - Northbound - Golf Course to Avenue U,Flatbush Ave
70073,Flatbush Ave - Northbound - Willoughby St to Tillary St,Flatbush Ave
122135,Flatbush Ave - Southbound - Avenue U to Golf Course,Flatbush Ave
120140,Flatbush Ave - Southbound - Aviators Sports Complex to Beach 140 st,Flatbush Ave
134122,Flatbush Ave - Southbound - Fillmore Ave to Avenue U,Flatbush Ave
135120,Flatbush Ave - Southbound - Golf Course to Aviators Sports Complex,Flatbush Ave
133134,Flatbush Ave - Southbound - Kings Hwy to Fillmore Ave,Flatbush Ave
73070,Flatbush Ave - Southbound - Tillary St to Willoughby St,Flatbush Ave
70071,Flatbush Ave - Southbound - Willoughby St to Atlantic Ave,Flatbush Ave
4616318,GOW N 7th Avenue-9th Street,Brooklyn-Queens Expwy / Gowanus Expwy
4616220,GOW N 92nd Street-7th Avenue,Brooklyn-Queens Expwy / Gowanus Expwy
4616223,GOW N 9th Street-Atlantic Avenue,Brooklyn-Queens Expwy / Gowanus Expwy
4616226,GOW S 7th Avenue-92nd Street,Brooklyn-Queens Expwy / Gowanus Expwy
4763657,GOW S 92nd St - VNB W Bklyn Gantry l/lev,Brooklyn-Queens Expwy / Gowanus Expwy
4763655,GOW S 92nd St - VNB W Bklyn Gantry u/lev,Brooklyn-Queens Expwy / Gowanus Expwy
4616319,GOW S 9th Street-7th Avenue,Brooklyn-Queens Expwy / Gowanus Expwy
4620298,GWB E L/Lev Plaza - CBE E L/Lev Amsterdam Ave,Cross-Bronx Expwy / GWB
173174,Henry Hudson Pkwy - Northbound - 125th St to GWB,West Side Hwy
30171,Henry Hudson Pkwy - Northbound - 57th St to 79th St,West Side Hwy
171172,Henry Hudson Pkwy - Northbound - 79th St to 99th St,West Side Hwy
172173,Henry Hudson Pkwy - Northbound - 99th St to 125th St,West Side Hwy
173172,Henry Hudson Pkwy - Southbound - 125th St to 99th St,West Side Hwy
171031,Henry Hudson Pkwy - Southbound - 79th St to 57th St,West Side Hwy
172171,Henry Hudson Pkwy - Southbound - 99th St to 79th St,West Side Hwy
174173,Henry Hudson Pkwy - Southbound - GWB to 125th St,West Side Hwy
161162,Horace Harding Expwy NSR - Westbound - Kissena Blvd to Main St,Long Island Expwy
162175,Horace Harding Expwy - Westbound - Main St to College Pnt Blvd,Long Island Expwy
4616250,HRP N Lafayette Avenue-E.Tremont Avenue,Hutchinson River Pkwy
4456498,HRP S Lafayette Ave - BWB S Toll Plaza,Hutchinson River Pkwy
74063,Hylan Blvd @ Midland Ave to Father Capodanno Blvd @ Seaview Ave via Midland Ave,Hylan Blvd
127121,Hylan Blvd - Northbound - Arden Ave to Richmond Ave,Hylan Blvd
126062,Hylan Blvd - Northbound - Guyon Ave to New Dorp Ln,Hylan Blvd
125127,Hylan Blvd - Northbound - Huguenot Ave to Arden Ave,Hylan Blvd
145126,Hylan Blvd - Northbound - Keegans Ln to Guyon Ave,Hylan Blvd
74066,Hylan Blvd - Northbound - Midland Ave to Seaview Ave,Hylan Blvd
62074,Hylan Blvd - Northbound - New Dorp Ln to Midland Ave,Hylan Blvd
123124,Hylan Blvd - Northbound - Page Ave to Seguine Ave,Hylan Blvd
121145,Hylan Blvd - Northbound - Richmond Ave to Keegans Ln,Hylan Blvd
66128,Hylan Blvd - Northbound - Seaview Ave to Fingerboard Rd West,Hylan Blvd
66067,Hylan Blvd - Northbound -  Seaview Ave to Narrows Rd South Via Steuben St,Hylan Blvd
124125,Hylan Blvd - Northbound - Seguine Ave to Huguenot Ave,Hylan Blvd
128068,Hylan Blvd - Northbound - West Fingerboard Rd to Narrows Rd South (via Fingerboard Rd),Hylan Blvd
127125,Hylan Blvd - Southbound - Arden Ave to Huguenot Ave,Hylan Blvd
126145,Hylan Blvd - Southbound - Guyon Ave to Keegans Ln,Hylan Blvd
125124,Hylan Blvd - Southbound - Huguenot Ave to Seguine Ave,Hylan Blvd
145121,Hylan Blvd - Southbound - Keegans Ln to Richmond Ave,Hylan Blvd
74062,Hylan Blvd - Southbound - Midland Ave to New Dorp Ln,Hylan Blvd
84066,Hylan Blvd - Southbound - Narrows Rd South (West) to Seaview Ave,Hylan Blvd
62126,Hylan Blvd - Southbound - New Dorp Ln to Guyon Ave,Hylan Blvd
121127,Hylan Blvd - Southbound - Richmond Ave to Arden Ave,Hylan Blvd
66074,Hylan Blvd - Southbound - Seaview Ave to Midland Ave,Hylan Blvd
124123,Hylan Blvd - Southbound - Seguine Ave to Page Ave,Hylan Blvd
4616228,I-87 NYST S Exit 1 (Hall Pl) - MDE S Van Cortlandt Park,Major Deegan Expwy
167166,Jackie Robinson Pkwy - Northbound - Forest Pk Dr to Metropolitan Ave,Jackie Robinson Pkwy
168167,Jackie Robinson Pkwy - Northbound - Jamaica Ave to Forest Pk Dr,Jackie Robinson Pkwy
166169,Jackie Robinson Pkwy - Northbound- Metropolitan Ave to Queens Blvd,Jackie Robinson Pkwy
167168,Jackie Robinson Pkwy - Southbound - Forest Pk Dr to Jamaica Av,Jackie Robinson Pkwy
166167,Jackie Robinson Pkwy - Southbound - Metropolitan Ave to Forest Pk Dr,Jackie Robinson Pkwy
169166,Jackie Robinson Pkwy - Southbound - Queens Blvd to Metropolitan Ave,Jackie Robinson Pkwy
183160,Kissena Blvd  - Northbound - Holly Ave to Sanford Ave,Flushing
161183,Kissena Blvd - Northbound - Horace Harding Expwy NSR to Holly Ave,Flushing
160157,Kissena Blvd @ Sanford Ave to Main St @ Roosevelt Ave - Northbound,Flushing
183161,Kissena Blvd -  Southbound - Holly Ave to Horace Harding Expwy NSR,Flushing
160183,Kissena Blvd - Southbound - Sanford Ave to Holly Ave,Flushing
4616353,Laurelton Pkwy N @ SSP - CIP N Hempstead Tpk,Belt Pkwy / Cross-Island Pkwy
4616354,Laurelton Pkwy S @ SSP - Belt Pkwy W 182nd St,Belt Pkwy / Cross-Island Pkwy
2001,Lexington Avenue - Southbound - 49th St to 42nd St,Lexington Ave
3002,Lexington Avenue - Southbound - 57th St to 49th St,Lexington Ave
21003,Lexington Avenue - Southbound - 72nd St to 57th St,Lexington Ave
191021,Lexington Ave - Southbound - 86 St to 72 St,Lexington Ave
190191,Lexington Ave - Southbound - 96 St to 86 St,Lexington Ave
4362342,LIE E 84th - 108th St,Long Island Expwy
4616365,LIE E QMT TOLL PLAZA - 84TH ST,Long Island Expwy
4616364,LIE W 108th - 84th St,Long Island Expwy
4456516,LIE W 84TH ST - QMT TOLL PLAZA,Long Island Expwy
4362249,LIE W Little Neck Pkwy - CIP N ramp,Long Island Expwy
4362251,LIE W Little Neck Pkwy - CVE N ramp,Long Island Expwy
65063,Lily Pond Ave @ Verrazano-Narrows Br Exit - Father Capodanno Blvd @ Seaview Ave - SB,Father Capodanno Blvd
4329473,LINCOLN TUNNEL E CENTER TUBE NJ - NY,Lincoln Tunnel
4329472,Lincoln Tunnel E south tube NJ - NY,Lincoln Tunnel
4329508,LINCOLN TUNNEL W CENTER TUBE NY - NJ,Lincoln Tunnel
4329507,Lincoln Tunnel W north tube NY - NJ,Lincoln Tunnel
204008,Madison Avenue - northbound - 23 st to 34 st,Madison Ave
