"link_name","data_as_of","status","speed","travel_time"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T08:39:03.000","0","22.99","418"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T08:39:03.000","0","11.18","628"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T08:39:03.000","0","26.71","566"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T08:39:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T08:39:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T08:39:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T08:34:03.000","0","22.99","414"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T08:34:03.000","0","11.80","598"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T08:34:03.000","0","27.96","549"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T08:34:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T08:34:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T08:34:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T08:29:04.000","0","24.23","393"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T08:29:04.000","0","11.80","596"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T08:29:04.000","0","29.82","511"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T08:29:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T08:29:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T08:29:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T08:24:03.000","0","24.85","389"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T08:24:03.000","0","13.67","525"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T08:24:03.000","0","29.82","509"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T08:24:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T08:24:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T08:24:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T08:19:04.000","0","26.71","355"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T08:19:04.000","0","14.91","474"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T08:19:04.000","0","31.06","489"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T08:19:04.000","-101","3.72","3477"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T08:19:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T08:19:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T08:14:03.000","0","27.96","344"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T08:14:03.000","0","19.26","374"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T08:14:03.000","0","28.58","533"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T08:14:03.000","-101","3.72","3477"
